wavelength_nm,value
414.13,0.0138
417.32,0.0139
420.52,0.0127
423.72,0.0145
426.91,0.012
430.11,0.0142
433.31,0.0135
436.5,0.0123
439.7,0.0138
442.9,0.012
446.09,0.0151
449.29,0.0136
452.49,0.0132
455.68,0.0128
458.88,0.0135
462.08,0.0136
465.27,0.0145
468.47,0.0119
471.67,0.0119
474.86,0.0129
478.06,0.013
481.26,0.013
484.45,0.015
487.65,0.0131
490.85,0.013
494.04,0.0139
497.24,0.0147
500.43,0.0155
503.63,0.0127
506.83,0.0146
510.03,0.0147
513.22,0.0139
516.42,0.0151
519.61,0.0152
522.81,0.0136
526.01,0.0147
529.2,0.0151
532.4,0.0155
535.6,0.0153
538.79,0.0156
541.99,0.0149
545.19,0.0158
548.38,0.0162
551.58,0.0157
554.78,0.0162
557.97,0.0169
561.17,0.0163
564.37,0.0168
567.56,0.0165
570.76,0.0179
573.96,0.016
577.15,0.0162
580.35,0.0153
583.55,0.016
586.74,0.0164
589.94,0.0171
593.14,0.016
596.33,0.016
599.53,0.0156
602.73,0.0154
605.92,0.0159
609.12,0.0148
612.32,0.0147
615.51,0.0158
618.71,0.0139
621.91,0.0142
625.1,0.0149
628.3,0.0144
631.5,0.0147
634.69,0.0152
637.89,0.0149
641.09,0.0148
644.28,0.0146
647.48,0.0153
650.67,0.0146
653.87,0.0151
657.07,0.014
660.27,0.0141
663.46,0.0134
666.66,0.0128
669.85,0.0138
673.05,0.0134
676.25,0.0131
679.45,0.0141
682.64,0.0129
685.84,0.0144
689.03,0.0145
692.23,0.0146
695.43,0.0148
698.62,0.0149
701.82,0.015
705.02,0.0152
708.21,0.0153
711.41,0.0154
714.61,0.0156
717.8,0.0157
721.0,0.0159
724.2,0.016
727.39,0.0161
730.59,0.0163
733.79,0.0164
736.98,0.0165
740.18,0.0167
743.38,0.0172
746.57,0.017
749.77,0.0172
752.97,0.0174
756.16,0.0176
759.36,0.0178
762.56,0.018
765.75,0.0182
768.95,0.0184
772.15,0.0186
775.34,0.0185
778.54,0.0201
781.74,0.0196
784.93,0.0186
788.13,0.0178
791.33,0.0179
794.52,0.018
797.72,0.018
800.92,0.0181
804.11,0.0181
807.31,0.0182
810.51,0.0183
813.7,0.0183
816.9,0.0184
820.1,0.0185
823.29,0.0185
826.49,0.0186
829.68,0.0187
832.88,0.0187
836.08,0.0188
839.28,0.0188
842.47,0.0189
845.67,0.0199
848.86,0.0175
852.06,0.0173
855.26,0.0173
858.46,0.019
861.65,0.0199
864.85,0.0199
868.04,0.0196
871.24,0.0185
874.44,0.0162
877.63,0.019
880.83,0.0185
884.03,0.0173
887.22,0.0166
890.42,0.0192
893.62,0.0198
896.81,0.0198
900.01,0.0196
903.21,0.0194
906.4,0.0192
909.6,0.019
912.8,0.0188
915.99,0.0186
919.19,0.0184
922.39,0.0182
925.58,0.018
928.78,0.0179
931.98,0.0177
935.17,0.0175
938.37,0.0173
941.57,0.0171
944.76,0.0169
947.96,0.0167
951.16,0.0165
954.35,0.0163
957.55,0.0161
960.75,0.0159
963.94,0.0157
967.14,0.0155
970.1,0.0153
975.54,0.0151
980.98,0.0148
986.42,0.0145
991.86,0.0141
997.3,0.0138
1002.74,0.0135
1008.18,0.0132
1013.62,0.0146
1019.06,0.0138
1024.5,0.0132
1029.95,0.0133
1035.39,0.0138
1040.83,0.0142
1046.27,0.0129
1051.71,0.0129
1057.15,0.0141
1062.59,0.0133
1068.03,0.0133
1073.47,0.0147
1078.91,0.0129
1084.35,0.0128
1089.79,0.0127
1095.23,0.0126
1100.67,0.0125
1106.11,0.0123
1111.55,0.0122
1116.99,0.0121
1122.43,0.012
1127.87,0.0119
1133.32,0.0117
1138.76,0.0116
1144.2,0.0115
1149.64,0.0114
1155.08,0.0113
1160.52,0.0111
1165.96,0.011
1171.4,0.0109
1176.84,0.0108
1182.28,0.0107
1187.72,0.0106
1193.16,0.0104
1198.6,0.0108
1204.04,0.0103
1209.48,0.0113
1214.92,0.011
1220.36,0.0115
1225.8,0.0108
1231.24,0.0119
1236.69,0.0113
1242.13,0.0119
1247.57,0.0116
1253.01,0.0113
1258.45,0.0111
1263.89,0.0099
1269.33,0.0121
1274.77,0.0115
1280.21,0.0114
1285.65,0.0127
1291.09,0.0109
1296.53,0.0108
1301.97,0.0108
1307.41,0.0097
1312.85,0.0107
1318.29,0.0104
1323.73,0.0114
1329.17,0.0114
1334.61,0.0112
1340.06,0.0109
1345.5,0.0106
1350.94,0.0104
1356.38,0.0101
1361.82,0.0098
1367.26,0.0095
1372.7,0.0093
1378.14,0.009
1383.58,0.0087
1389.02,0.0085
1394.46,0.0082
1399.9,0.0079
1405.34,0.0077
1410.78,0.0074
1416.22,0.0072
1421.66,0.0069
1427.1,0.0066
1432.54,0.0064
1437.98,0.0061
1443.43,0.0059
1448.87,0.0056
1454.31,0.0053
1459.75,0.0051
1465.19,0.0048
1470.63,0.0046
1476.07,0.0043
1481.51,0.0041
1486.95,0.0038
1492.39,0.0035
1497.83,0.0064
1503.27,0.0055
1508.71,0.0064
1514.15,0.0054
1519.59,0.0065
1525.03,0.0062
1530.47,0.0065
1535.91,0.0068
1541.35,0.008
1546.8,0.0073
1552.24,0.0074
1557.68,0.0066
1563.12,0.0061
1568.56,0.006
1574.0,0.0074
1579.44,0.0074
1584.88,0.0072
1590.32,0.0064
1595.76,0.0077
1601.2,0.009
1606.64,0.0081
1612.08,0.0063
1617.52,0.0073
1622.96,0.0073
1628.4,0.0051
1633.84,0.0063
1639.28,0.0074
1644.72,0.0074
1650.17,0.0067
1655.61,0.0074
1661.05,0.0075
1666.49,0.0066
1671.93,0.0054
1677.37,0.0079
1682.81,0.007
1688.25,0.0073
1693.69,0.0068
1699.13,0.0064
1704.57,0.0064
1710.01,0.0062
1715.45,0.0061
1720.89,0.0055
1726.33,0.0068
1731.77,0.0063
1737.21,0.0066
1742.65,0.0053
1748.09,0.0057
1753.54,0.0064
1758.98,0.0069
1764.42,0.0059
1769.86,0.0064
1775.3,0.0048
1780.74,0.0047
1786.18,0.0047
1791.62,0.0046
1797.06,0.0045
1802.5,0.0045
1807.94,0.0044
1813.38,0.0043
1818.82,0.0042
1824.26,0.0042
1829.7,0.0041
1835.14,0.004
1840.58,0.004
1846.02,0.0039
1851.46,0.0038
1856.91,0.0038
1862.35,0.0037
1867.79,0.0036
1873.23,0.0036
1878.67,0.0035
1884.11,0.0034
1889.55,0.0034
1894.99,0.0033
1900.43,0.0032
1905.87,0.0032
1911.31,0.0031
1916.75,0.003
1922.19,0.003
1927.63,0.0029
1933.07,0.0028
1938.51,0.0028
1943.95,0.0027
1949.39,0.0026
1954.83,0.0026
1960.28,0.0025
1965.72,0.0025
1971.16,0.0024
1976.6,0.0023
1982.04,0.0023
1987.48,0.0022
1992.92,0.0021
1998.36,0.0091
2003.8,0.0019
2009.24,0.0
2014.68,0.0065
2020.12,0.0005
2025.56,0.0619
2031.0,0.0046
2036.44,0.0048
2041.88,0.0027
2047.32,0.0015
2052.76,0.0024
2058.2,0.0001
2063.65,0.0
2069.09,0.0709
2074.53,0.001
2079.97,0.0022
2085.41,0.003
2090.85,0.0009
2096.29,0.0011
2101.73,0.0077
2107.17,0.0036
2112.61,0.004
2118.05,0.0012
2123.49,0.0032
2128.93,0.0021
2134.37,0.0055
2139.81,0.0045
2145.25,0.0042
2150.69,0.0042
2156.13,0.0039
2161.57,0.0005
2167.02,0.0026
2172.46,0.0035
2177.9,0.005
2183.34,0.004
2188.78,0.004
2194.22,0.0044
2199.66,0.0033
2205.1,0.0033
2210.54,0.0038
2215.98,0.005
2221.42,0.0054
2226.86,0.0053
2232.3,0.0003
2237.74,0.0858
2243.18,0.0011
2248.62,0.0828
2254.06,0.006
2259.5,0.0031
2264.94,0.0775
2270.39,0.0057
2275.83,0.0036
2281.27,0.0
2286.71,0.0019
2292.15,0.0001
2297.59,0.0716
2303.03,0.0694
2308.47,0.068
2313.91,0.0042
2319.35,0.0008
2324.79,0.0633
2330.23,0.0006
2335.67,0.0022
2341.11,0.0
2346.55,0.0014
2351.99,0.0049
2357.43,0.0005
2362.87,0.0617
2368.32,0.0102
2373.76,0.0019
2379.2,0.0015
2384.64,0.0
2390.08,0.0027
2395.52,0.0049
2400.96,0.0067
2406.4,0.001
2411.84,0.0037
2417.28,0.0011
2422.72,0.0
2428.16,0.0516
2433.6,0.0148
2439.04,0.0033
2444.48,0.0
2449.92,0.0876
2455.36,0.039
2460.8,0.0706
2466.24,0.0702
2471.69,0.0316
2477.13,0.008
2482.57,0.2585
2488.01,0.436
2493.45,0.2216
2498.89,0.1479
